XcorSP,YcorSP,ZcorSP,XcorSN,YcorSN,ZcorSN,XcorHP,YcorHP,ZcorHP,XcorHN,YcorHN,ZcorHN
0.0,0.012793226591195667,-0.00044813450729548827,0.0,0.012793226591195667,0.00044813450729548827,0.0,0.005482811396226715,-0.0002570456889820635,0.0,0.005482811396226715,0.0002570456889820635
0.0008906852032959914,0.012751751271039021,0.0003481888917753743,0.0008349906998901904,0.012776447701496644,0.0012431940078097038,0.0004626819212748484,0.005469056226737441,0.0007130278220451273,0.0003770869951120679,0.005486458209822754,0.0012253398432875496
0.00177374855030459,0.01264885359572142,0.0011493939365744982,0.0016631002072265135,0.012705823989956023,0.002033371862595658,0.0008600771486909966,0.005448976222717601,0.0016857196763689877,0.0007007067506586432,0.0054940542913814346,0.002191015654296366
0.002641646895307639,0.012485902418761574,0.001956072209536987,0.002477964523273349,0.01258363230429953,0.002818076489218247,0.001195691587830309,0.0054343058025988775,0.00266100853981763,0.0009760583648579186,0.005516517855301199,0.0031540944561804004
0.003487169355529467,0.012265514654517135,0.002768794583462256,0.003273856583495138,0.012413128165382153,0.003596737014878056,0.0014726158976542509,0.005434786133465668,0.003638855568359335,0.001207636889297625,0.005562082817997293,0.004114615092971372
0.004303580787927036,0.011991473650689557,0.003588102271755395,0.0040458524223994825,0.01219839193621972,0.004368812226169996,0.0016930934796983866,0.005458557009706422,0.004619276335116867,0.001398773737585693,0.005636785846431669,0.005072561991546518
0.0050847437919779755,0.011668658529835953,0.004414467342397585,0.004789964170079257,0.011944119407688905,0.0051338300551128846,0.001858246222009928,0.005512502409006656,0.0056023814210272825,0.001551291532205239,0.005744808320031979,0.00602782457096878
0.0058252395676782875,0.011302996962291853,0.005248195623912038,0.005503212413055545,0.011655357750390085,0.0058914846731835105,0.0019679412150042197,0.005602519480086248,0.006588366660763605,0.0016652052502602634,0.005888674367752047,0.006980206996565135
0.006520525159941261,0.010901431377802563,0.006089250911382068,0.006183596604213821,0.011337211007634847,0.0066418122852985595,0.0020207872031412274,0.005733660780126129,0.007577433016792087,0.0017384225709607,0.006069341667793836,0.007929508305869332
0.0071671694244785375,0.010471845412554468,0.006937013768690792,0.00682992068114954,0.010994582476817795,0.007385432327574914,0.0020142296089059753,0.005910071734875908,0.008569627073416885,0.0017664411984096204,0.006286257325731265,0.00887568191457721
0.007763175433497036,0.010022849909987195,0.007790062529958519,0.007441468680725967,0.010632068032436512,0.008123766465892267,0.0019446603071962877,0.006134639112187951,0.009564630937876194,0.001742116640325376,0.006537460712669285,0.00981904571545058
0.0083083058510278,0.009563333570648702,0.008646145102982065,0.008017618912692382,0.010254107277742577,0.0088590667924538,0.0018074027651149376,0.006408332155179412,0.010561591244665556,0.0016556509570674009,0.0068197510461167985,0.010760453073993896
0.008804228045680484,0.009101806426425493,0.009502495790713193,0.008557587060342865,0.009865374472300247,0.00959409900430775,0.0015964588756329995,0.006729367905987797,0.01155911131291468,0.0014949476680129943,0.007128790050511461,0.011701300671077448
0.009254310747569697,0.008645759173529598,0.010356461787657239,0.009060474963037012,0.009471194157295608,0.010331515906948783,0.0013040732739643362,0.0070924566071077005,0.012555468032063128,0.0012463282353406603,0.007458890819247588,0.012643311617261678
0.009663092442537574,0.008201332198382233,0.011206156073873761,0.009525614227988307,0.009077693294372573,0.01107320452031734,0.0009203858879567866,0.007488315448766064,0.013548970498636077,0.0008954096579345014,0.007802321331186582,0.013588176816021407
0.010035651378218949,0.007773411521372503,0.01205080817834735,0.009952984280801613,0.008691576054586292,0.011819935315428829,0.0004334914521220863,0.007903396998790732,0.014538286254662762,0.0004279127573322531,0.008148209099256008,0.0145372287253274
0.010377127999693626,0.007366008038467796,0.012890703503269797,0.010343463074829789,0.008319666107144838,0.012571422890091461,-0.00016994411037841862,0.008319605675854443,0.015522617209067256,-0.00016964457167347464,0.008481330644065973,0.015491265436255584
0.01069249269921581,0.006982679528824816,0.013726849278768112,0.010698825648144507,0.00796845630484649,0.013326660014178225,-0.0009035561866580767,0.008713829274457699,0.01650173448697115,-0.0009092075046454987,0.008781049886674872,0.016450515823684366
0.010986496550629436,0.006626845132780842,0.014560575385309943,0.011021559534852333,0.007643813907423956,0.014084316807221473,-0.0017797457677838054,0.009057293220967363,0.017475952515911886,-0.001800174510643215,0.00902053413043944,0.017414665460076306
0.011263695472946802,0.006301971241002107,0.015393201181468339,0.011314611528010445,0.007350859114925714,0.014843073910648156,-0.002807780912899618,0.009314889942897217,0.018446110254629083,-0.0028479588926099532,0.009166288866201537,0.018382875386691783
0.011528468410801454,0.006011674846224174,0.01622580150185259,0.011581148159187047,0.007093966831333705,0.01560185648984898,-0.003991512052952001,0.009444698206858355,0.019413581021894492,-0.004052055859412779,0.00917805925708793,0.019353772284759048
0.011784993995842456,0.00575979596149183,0.01705905211607983,0.011824366212618799,0.006876835644440437,0.016359988775206814,-0.005326655849289602,0.009397927603498968,0.02038029397722242,-0.0054036200526607365,0.009009204922357327,0.020325426994763796
0.012037177606422698,0.005550470918632287,0.01789312471076342,0.012047359835537274,0.006702587708821714,0.0171172990801083,-0.006797631550085262,0.00911954222968975,0.02134872993972991,-0.006882611117205277,0.008607720524415054,0.02129535869758898
0.012288531110806376,0.005388217474308158,0.01872761169864121,0.01225303802484903,0.006573884205953359,0.017874194991815587,-0.008374002995384162,0.008549847288467203,0.022321846728970952,-0.008454620489740126,0.007918127555827598,0.02226060957368061
